Which country ? ,Which education institution ? ,Year ? ,What is the course title ? ,What are the course prerequisites ? ,What is the course description ?,What is the course  content/topics?,What are the course outcomes/objectives?,Hardware or Software tools used in the course ? ,Textbook/references used in the course ? ,Teaching method ? ,What are assessment methods ? 
United States,Arizona State University,2019-01-01,Artificial Intelligence,"Proficient mathematical skills: Algebra, Linear Algebra, Probability and Statistics
● Experience using digital drawing tools (e.g. for constructing Parse Trees), Microsoft’s
Office 365, installing software
● Strong Python and ROS skills","The field of Artificial Intelligence (AI) develops the principles and processes for designing
autonomous agents. This course addresses the core concepts in designing autonomous agents
that can reason, learn, and act to achieve user-given objectives and prepares students to
address emerging technical and ethical challenges using a principled approach to the field. Main
topics include principles and algorithms that empower modern applications and future
technology development for self-driving vehicles, personal digital assistants, decision support
systems, speech recognition and natural language processing, autonomous game playing
agents and household robots

","● Neural Networks
● Classical Planning
● Modeling & Reasoning
● Reinforcement Learning
● Markov Decision Processes (MDPs)
● Partially Observable Markov Decision Processes (POMDPs)
● Bayesian Networks
● Sensors for Perception
● Perception based Recognition
● Real-world Applications
● Robotics

","Apply logical reasoning and programming to produce solutions for real-world problems.
● Use probabilistic inference to navigate uncertain information efficiently.
● Determine appropriate machine learning methods for a given scenario or dataset.
● Evaluate the challenges in perception systems for AI.
● Utilize sensors to execute perception tasks and their applications in intelligent systems.
● Apply algorithms to train an image classifier.
● Design an agent that can plan and act to achieve given objectives using noisy sensors
and actuators.
","Matlab
● Ubuntu 16.04
● ROS Kinetic
● Turtlebot3 packages
● PyTorch
● GProlog 1.4.5
● Cygwin (Windows Users)
● Linux (Windows users may install virtual machines)
● Pip and Pgmpy
● Python 3.4 or higher
● Microsoft Office 365

",,Lecture based learning,Short Quizes;Assignments;Final Exam;Project
United Kingdom,British Computer Societ,2023-01-01,Artificial Intelligence,,"Artificial Intelligence (AI) is a methodology for using a non-human system to learn from
experience and imitate human intelligent behaviour. The BCS Foundation Certificate in
Artificial Intelligence tests a candidate’s knowledge and understanding of the terminology
and general principles of AI. This syllabus covers the potential benefits and challenges of
Ethical and Sustainable Robust Artificial Intelligence; the basic process of Machine Learning
(ML) – Building a Machine Learning Toolkit; the challenges and risks associated with an AI
project, and the future of AI and Humans in work. The Foundation Certificate includes and
expands on the knowledge taught in the BCS Essentials Certificate in AI. ",not mentioned,"Candidates should be able to demonstrate a knowledge and understanding in the
application of Ethical and Sustainable Artificial Intelligence:
 Human-centric ethical and sustainable human and artificial intelligence.
Artificial intelligence and robotics.
Applying the benefits of AI projects - challenges and risks.
Machine learning theory and practice – building a machine learning toolbox.
The management, roles and responsibilities of humans and machines – the future of AI. ",,,Lecture based learning;Online course,Final Exam
,NextGen Bootcamp,,Python Artificial Intelligence & Machine Learning,,"Take a step beyond regular programming and master algorithms that can independently learn
patterns and make decisions. Machine learning skills are in high demand, as these algorithms
now run the majority of trading on Wall Street and the product recommendations at big
companies like Amazon, Spotify, and Netflix.","Basic Regression Analysis
Linear Regression
Mean squared error
Training set vs Test set
Cross validation
Advanced Regression Analysis
Multi-linear regression
Feature engineering
Overfitting
Classification
Regression vs Classification
Logistic Regression
Sigmoid function
K-nearest Neighbors
K-nearest neighbors
Model-based vs memory-based
Parametric vs non-parametric
Evaluating performance
Decision Trees
Decision tree
Interpretability
Bias-variance tradeoff
Random forest
Random forest
Ensemble methods
Hyperparameters

",,,,Online course,not mentioned
,not mentioned,,Artificial Intelligence - I,,not mentioned,"Introduction: Uninformed search strategies, Greedy best-first search, And-Or search, Uniform cost search,
A* search, Memory-bounded heuristic search, Local and evolutionary searches (9 Lectures)
Constraint Satisfaction Problems: Backtracking search for CSPs, Local search for CSPs (3 Lectures)
Adversarial Search: Optimal Decision in Games, The minimax algorithm, Alpha-Beta pruning, Expectimax
search (4 Lectures)
Knowledge and Reasoning: Propositional Logic, Reasoning Patterns in propositional logic; First order
logic: syntax, semantics, Inference in First order logic, unification and lifting, backward chaining,
resolution (9 Lectures)
Representation: Information extraction, representation techniques, foundations of Ontology (3 Lectures)
Planning: Situation Calculus, Deductive planning, STRIPES, sub-goal, Partial order planner (4 Lectures)
Bayesian Network, Causality, and Uncertain Reasoning: Probabilistic models, directed and undirected
models, inferencing, causality, Introduction to Probabilistic reasoning (6 lectures)
Introduction to RL: MDP, Policy, Q-value (4 Lectures)","The students are expected to have the ability to:
1. Develop an understanding of where and how AI can be used.",,"1. Russel,S., and Norvig,P., (2015), Artificial Intelligence: A Modern Approach, 3rd Edition, Prentice Hall",not mentioned,not mentioned
,not mentioned,,Artificial Intelligence - II,,not mentioned,"Making decisions: Utility theory, utility functions, decision networks, sequential decision problems,
Partially Observable MDPs, Game Theory 
Reinforcement Learning: Passive RL, Active RL, Generalization in RL, Policy Search, 
Probabilistic Reasoning over time: Hidden Markov Models, Kalman Filters 
Knowledge Representation: Ontological engineering, Situation Calculus, semantic networks,
description logic 
Planning: Planning with state space search, Partial-Order Planning, Planning Graphs, Planning with
Propositional Logic, hierarchical task network planning, non-deterministic domains, conditional
planning, continuous planning, multi-agent planning ","Develop an understanding of modern concepts in AI and where they can be used
2. Design, implement and apply novel AI techniques based on emerging real-world requirements",,"S. RUSSEL, P. NORVIG (2009), Artificial Intelligence: A Modern Approach, Pearson, 3rd Edition.",not mentioned,not mentioned
United States,Cornell University,2005-01-01,Foundations of Artificial Intelligence,,not mentioned,"Problem solving
principles of search, uninformed search, informed (heuristic)
search, genetic algorithms, game playing
Learning
inductive learning, concept formation, decision tree learning,
statistical approaches, neural networks
Knowledge representation and reasoning
knowledge bases and inference; constraint satisfaction;
planning; theorem-proving; Bayesian networks
Natural language understanding
syntactic processing, ambiguity resolution, text understanding",,,"Artificial Intelligence: A Modern Approach
Russell and Norvig, Prentice-Hall, Inc., second edition",Lecture based learning,Assignments;Final Exam;midterm exam
United States,New York City College of Technology,2019-01-01,Introduction to Artificial Intelligence,,"Introduction to basic methods of Artificial Intelligence (AI) such as searching, knowledge representation, problem-solving and
learning. Through discussions, small projects and examples, students learn what AI is, some of the major developments in the
field, promising directions and the techniques for making computers exhibit intelligent behavior. Students make use of
available development tools and explore some areas of application such as recommender systems, natural language processing,
robotics, and machine learning","
Course Introduction
The instructor, the outline, classroom conduct, academic integrity, attendance, and grading policy.
An Introduction to AI and Its History
Different Views and Approaches to AI
AI vs ML vs DL
AI in Industry
AI in Enterprise
PART II: Machine Learning
2. Introduction to Supervised Learning

K-Nearest Neighbor (KNN)
Model Generation
Train and Test Splitting
EXAM I (PART I and Supervised Learning)
Linear Regression
Linear Regression with one variable
Model Representation
Cost Function
Parameter Learning (Gradient Descent)
Multivariate Linear Regression
Gradient Descent for Multiple Features
Normal Equation
Polynomial Regression
Logistic Regression
Classification
Hypothesis Representation
The Problem of Overfitting
Decision Boundary
Cost Function
Advanced Optimization
Multiclass Classification
EXAM II (PART II Linear and Logistic Regression)
Naïve Bayes
Basics probability theory
The Naïve Bayes classifier
Support Vector Machines
Optimization Objective
Large Margin Intuition Kernels
EXAM III (PART II Naïve Bayes and SVM)
Introduction to Unsupervised Learning
Clustering with K-Means
Hierarchical Agglomerative Clustering
PART III: Deep Learning
11. Introduction to Deep Learning
- Neural Networks
- Convolutional Neural Networks
- Transfer Learning
12. EXAM IV (PART II Unsupervised Learning and Part III Intro Deep Learning)
13. Neural Networks: Representation
- Non-linear Hypotheses
- Neurons and the Brain
- Model Representation
- Example and Intuition
- Multiclass Classification
14. Neural Networks: Learning
- Learning Cost Function
- Backpropagation Algorithm
- Backpropagation Intuition
15. Deep Reinforcement Learning
- Q-Learning
- Deep Reinforcement Learning Policies and Learning Algorithms
16. EXAM V (PART III Deep Learning and Deep Reinforcement Learning)

PART IV: Final project (Autonomous Self Driving Car)
17. Project hours (Assembling the Car)
18. Project hours (Training)
19. Project hours (Adjustments)
20. Final project presentation and Autonomous Vehicles Race (City Tech AV Cup)",". Understand what constitutes “Artificial” Intelligence and how to identify systems with Artificial Intelligence.
 Understand the limitations of current ArtiØcial Intelligence techniques.
Familiarity with Artificial Intelligence techniques, such as search algorithms, knowledge representation, agents, and
machine learning.
 Recognize how Artificial Intelligence enables capabilities that are beyond conventional technology, for example,
prediction and classification, self-driving cars, robotics.
Ability to apply Artificial Intelligence methods and engineering techniques for solving narrowly defined problems.",,"1. Artificial Intelligence: A Modern Approach (3rd Edition). Stuart Russel and Peter Norvig. Pearson. 2009. ISBN-13: 978-0136042594

2. Artificial Intelligence in the 21st Century: A Living Introduction, Second Edition. Stephen Lucci and Danny Kopec. Mercury Learning.
2016. ISBN-13: 9781942270003.

3. Essentials of Artificial Intelligence. Matt Ginsberg. Morgan Kaufmann Publishers Inc. ISBN-13: 9780323139687

4. A Course in Machine Learning. Hal Daumé III. Self-published http://ciml.info/",Lecture based learning,Assignments;Final Exam;Project
United States,Yale University,2020-01-01,Artificial Intelligence,,"Introduction to artificial intelligence research, focusing on reasoning and perception. Topics include knowledge representation, predicate calculus, temporal reasoning, vision, robotics, planning, and learning.","Introduction. Python. Jupyter Notebooks.

Intelligent Agents.

Search.

Adversarial Search and Game Playing.

Constraint Satisfaction, Propositional Logic, First Order Logic.

Planning and Knowledge Representation.

Reasoning Under Uncertainty.

(3/2) Midterm Exam. Learning.

Reinforcement Learning.

Natural Language Processing.

Machine Perception.

Philosophical Foundations and the Future of AI.Sure, here are the topics covered in the course:

Introduction. Python. Jupyter Notebooks.

Intelligent Agents.

Search.

Adversarial Search and Game Playing.

Constraint Satisfaction, Propositional Logic, First Order Logic.

Planning and Knowledge Representation.

Reasoning Under Uncertainty.

(3/2) Midterm Exam. Learning.

Reinforcement Learning.

Natural Language Processing.

Machine Perception.

Philosophical Foundations and the Future of AI.",,"python
jupyter notebook","""Artificial Intelligence: A Modern Approach (3rd Edition)"" by Russell and Norvig, 2009.

""Goal-Based Decision Making: An Interpersonal Model"" by Slade, 1993.

""Learning Python, 5th Edition"" by Mark Lutz, June 2013.

""Python Cookbook, 3rd Edition: Recipes for Mastering Python 3"" by David Beazley and Brian K. Jones, May 2013.

""Effective Python"" by Brett Slatkin, March 8, 2015.
",Lecture based learning,Assignments;Final Exam;midterm exam;Project
United States,Stanford University,2024-01-01,Artificial Intelligence: Principles and Techniques,"Programming
Discrete math, mathematical rigor
Probability
Linear algebra
Algorithms
Systems
","What is this course about? The goal of artificial intelligence (AI) is to tackle complex real-world problems with rigorous mathematical tools. In this course, you will learn the foundational principles and practice implementing various AI systems. Specific topics include machine learning, search, Markov decision processes, game playing, constraint satisfaction, graphical models, and logic.","- Introduction to Artificial Intelligence
- Machine Learning I, II, and III
- Search Algorithms and Heuristics
- Markov Decision Processes (MDPs) I and II
- Games I and II
- Factor Graphs
- Bayesian Networks I, II, and III
- Logic I and II
- Conclusion and Summary of AI",,,"Russell and Norvig. Artificial Intelligence: A Modern Approach. A comprehensive reference for all the AI topics that we will cover.
Koller and Friedman. Probabilistic Graphical Models. Covers factor graphs and Bayesian networks (this is the textbook for CS228).
Sutton and Barto. Reinforcement Learning: An Introduction. Covers Markov decision processes and reinforcement learning (free online).
Hastie, Tibshirani, and Friedman. The Elements of Statistical Learning. Covers machine learning from a rigorous statistical perspective (free online).
Tsang. Foundations of Constraint Satisfaction. Covers constraint satisfaction problems (free online).",Online course,Short Quizes;Assignments;Final Exam;midterm exam;Project;Presentation
United States,University of Texas at El Paso,2019-01-01,Artificial Intelligence,"programming 
probability and statistics","Artificial Intelligence is the study of how machines can be designed to think and perform rational, goal-oriented actions. This course will introduce students to some of the most fundamental concepts and techniques in artificial intelligence, as well as some of the philosophical and historical aspects of artificial intelligence. The topics we will cover include search (uninformed and heuristic), genetic algorithms, constraint satisfaction, decision theory, reasoning under uncertainty, game theory, and machine learning.

","Course overview; what is AI?
Uninformed search, heuristic search
Advanced search, genetic algorithms
Adversarial search
Constraint Satisfaction
Representing uncertainty
Probabalistic reasoning
Review/MIDTERM
Decision Theory
Complex Decisions
Complex Decisions/Game Theory
Game Theory/Learning
Learning
Reinforcement Learning
",,,A Modern Approach (3rd edition) by Stuart Russell and Peter Norvig.,Lecture based learning,Short Quizes;Assignments;Final Exam;midterm exam;Project
Italy,School of Innovation,2022-01-01,AI in Everyday Life,,"So, what is AI really? We’ve all heard the hype - as well as the doom and gloom - surrounding
Artificial Intelligence. Will AI make our lives easier, by providing us with the futuristic gadgets
that we see in sci-fi movies? Or, will it take over humanity, becoming smarter than us and
replacing us as decision makers in our own lives? What is all this talk about AI driving the Fourth
Industrial Revolution and what does it mean for young people who will soon be entering the
workforce…or for those who entered the workforce before the rise of AI?
The truth is that “targeted” or “narrow” AI is already a big part of our lives. Narrow AI
applications aim at carrying out very specific tasks, and they have been evolving rapidly in
recent decades. From the use of technologies such as ""Siri"" or ""Alexa,"" which help us execute
voice-activated commands, to the use of the Google search engine that returns the information
we requested in just a few seconds, or even when we discover interesting content on social
networks, we are using AI. In this course, we will draw on our familiarity with such “everyday”
applications, to explore the technical, but also social and ethical aspects, of the modern AI
paradigm.
The main objective of the course is to help you appreciate what today’s AI is, as well as to
understand the basic elements of AI technologies, and how they are developed. You will
become familiar with the fundamental definitions and concepts around AI, but also the
widespread methods used in the creation of systems. In particular, an introduction to data-driven
AI, based on machine learning, is provided. The role of personal data in the AI ecosystem -
provided to companies via the use of services such as search engines and social media - will
also be discussed.
In addition to examining the fundamental concepts surrounding the technical aspects of Narrow
AI, we will also examine the ethical and social implications of its widespread use. You will learn
to analyze the functions of ""everyday"" AI applications and will be able to understand the
potential risks of these technologies, and to critically evaluate them.","Introduction to the course
Analyzing AI Applications
Machine Learning and Big Data
Computer Vision
Natural Language Processing
Personalization
Ethical Issues
Living with AI
Revision and Reflection
","Here are the learning objectives for each unit:

Unit 1 - Introduction:
- Become familiar with the basic principles of online and hybrid learning - its goals and logistics.
- Understand the goals of AI in Everyday Life.
- Become familiar with the iLog application and how it can benefit your learning experience in this course.

Unit 2 - Analyzing AI Applications:
- Identify the common characteristics of AI applications.
- Describe the basic components of AI applications.
- Analyze the basic functionalities of an AI system.
- Evaluate an AI system and explain why it can be considered “intelligent”.
- Analyze an “everyday” AI application and identify its basic functionalities, its likely data sources, as well as some positive and negative characteristics of its behaviors for end users.

Unit 3 - Machine Learning and Big Data:
- Describe Machine Learning in your own words.
- Understand the relationship between Machine Learning and Big Data.
- Explain the role of Machine Learning in today’s data-driven AI.

Unit 4 - Computer Vision:
- Describe the general goals of computer vision, and name a few specific computer vision tasks.
- Recognize the use of face recognition in some “everyday” applications that you use.
- Identify a few possible dangers of the use of face recognition.
- Recognize the possibility for social biases in computer vision.

Unit 5 - Natural Language Processing:
- Describe in your own words the area of Natural Language Processing (NLP).
- Recognize some “everyday” applications that use NLP.
- Use and interpret the output of some common NLP tools.

Unit 6 - Personalization:
- Describe the purpose of personalization in/by AI applications.
- Provide examples of personalization in some “everyday” applications that you use.
- Describe some benefits and dangers of the use of AI personalization.

Unit 7 - Ethical Issues:
- Describe the characteristics of Trustworthy AI systems.
- Provide examples of some common ethical and social issues that may result from the use of AI applications.
- Provide examples of social biases and stereotyping in some “everyday” applications of AI that you use.

Unit 8 - Living with AI:
- Understand the ways in which adults can help young people to have more healthy relationships with AI, and vice versa.
- Appreciate the role of the family in living with AI.
- Evaluate the challenges, dangers, and benefits of living long-term with AI.

Unit 9 - Revision and Reflection:
- Describe the “big picture” of what you have learned in this course.
- Evaluate the course and the activities we have undertaken.",,,Flipped classroom;Online course,Assignments
,Pointful Education,2020-01-01,Introduction to Artificial Intelligence,,"This course teaches what every student should know about Artificial Intelligence. AI is a
fast-moving technology with impacts and implications for both our individual lives and society as
a whole. In this course, students will get a basic introduction to the building blocks and
components of artificial intelligence, learning about concepts like algorithms, machine learning,
and neural networks. Students will also explore how AI is already being used, and evaluate
problem areas of AI, such as bias. The course also contains a balanced look at AI’s impact on
existing jobs, as well as its potential to create new and exciting career fields in the future. Students
will leave the course with a solid understanding of what AI is, how it works, areas of caution, and
what they can do with the technology.","Introduction to Artificial Intelligence
Perception and Intelligence
Algorithms in AI
Machine Learning
Deep Learning & Neural Networks
Humans and AI
Ethical AI and Biases
AI and Jobs",,,,Lecture based learning;Online course,Assignments;Final Exam;Project
Canada,McMaster University,2022-01-01,Artificial Intelligence,none,"The ubiquitous nature of machine intelligence and its increasing impact on
today's society, make the necessity to offer a practical AI course.
 This course covers the fundamentals and hands-on modules of classic and
advanced AI techniques. The students will understand various AI models and tools
such search and optimization, probabilistic methods, and pattern recognition
techniques to solve problems including real world problems. The skill of
management of training data will also be taught.
 Applications in areas such as manufacturing and automation, bio and
healthcare, automotive, and energy, will be discussed. To establish a foundation for
AI study, self-motivation and active practices are highly recommended.","
Introduce the concept and history of AI.
Introduce recent advances, short-term, and long-term goals.
Introduce key R&D areas and relative tools in AI.
Discuss some classic applications of AI and explore the pros and cons.
Python ecosystem for AI.
Python ecosystem for AI (continued).
Data processing.
Global search.
Evolutionary computation.
Linear regression and polynomial regression.
Logistic regression.
Fundamentals of digital image processing.
Filtering and enhancement.
Introduction of OpenCV.
Artificial neural network.
Object detection.
Deep learning.","Be familiar with classic AI methods as well as newly emerged techniques such as Deep Learning.
Be capable of connecting theory with practice through transferable skills.
Understand applications of AI based on various techniques and tools.
Know how to handle AI data properly and efficiently.
Understand the limits of artificial general intelligence.
Apply bio-inspired search methods for optimization problems.
Be able to code and debug independently of classic AI/ML methods from scratching without using libraries or tools.
Be able to apply advanced libraries or tools, such as Tensorflow, Keras, scikit-learn, OpenCV-Python, for complicated AI problems.
Design, evaluate and improve AI models for real-world problem solving.","pyhton
openCV",,Lecture based learning;LAB demos;Hybrid learning(face-to-face and online );Tutorial,Assignments;Final Exam;midterm exam;Project
Turkey,Medipol üniversitesi,2023-01-01,Artificial Intelligence,data structures,"The objective of this course is to introduce and teach the fundementals of problems, theories, algorithms and applications of Artificial Intelligence (AI). AI is a very fast-growning field that focuses on building intelligent systems that will have a great impact on every aera of industry, economy, and social life. The topics include definition and history of AI,  problem solving via search, game playing, knowledge representation, propositional logic, first-order predicate logic,  logical and probabilistic reasoning, planning, uncertain knowledge and reasoning, machine learning (popular machine learning algorithms, deep learning, reinforcement learning, and genetic algorithms), natural language processing, deep learning for natural language processing, computer vision and robotics. ","Introduction and Intelligent Agents
Problem Solving by Searching
Adversarial Search and Games
Constraint Satisfaction Problems
Logical Agents
First-Order Logic Inference in First-Order Logic
Knowledge Representation Automated Planning
Uncertain knowledge and reasoning
Probabilistic Programming Making Simple Decisions Making Complex Decisions
Machine Learning
Deep Learning Reinforcement Learning
Natural Language Processing Deep Learning for Natural Language Processing
Computer Vision Robotics",,,"Speech and Language Processing by Jurafsky and Martin, 2021

-  G. F. Luger, Artificial Intelligence, Addison-Wesley, 2002.


Artificial Intelligence: A Modern Approach, 4th Edition, by Stuart Russell and Peter Norvig.


",Lecture based learning,Assignments;Final Exam;midterm exam;Project;Presentation
United Kingdom,Southampton Data Science Academy,2020-01-01,Fundamentals of AI for Business,,"This is a course about one of the most talked about technologies today: Artificial Intelligence (AI). AI has delivered some of the most amazing technical advances of the last decade, outperforming human abilities in domains as diverse as image recognition, natural language understanding, pattern detection, prediction and autonomous devices. It has shown it can transform entire industries over the course of a few years, and change the way we think about our lives, jobs, businesses, government and society. The course comprises eight modules each of one week duration.","Introduction to AI
‘Winters’ and ‘summers’ of AI
Machine learning
Deep learning
Supervised vs unsupervised learning
Business challenges and opportunities
to deployment of AI
Deployment of AI solutions within your
organisation

Introduction to natural language
processing (NLP)
The NLP pipeline
From text to data
Applications of NLP
Overfitting
Evaluation metrics
Decision trees
Case study: support vector machines
BOW
TD-IDF
High dimensionality
Linear classifiers
Business challenges and opportunities
to deployment of NLP
Opportunities for deployment of NLP
within your organisation

Introduction to natural language
generation (NLG)
Turing test
Difficulties in applying NLG
Application of NLG
Knowledge structures and rules
Rules vs learning
Concept maps – web of data
Templates
Case study: Structured data and rules /
templates
Business challenges and opportunities
for deployment of NLG
Opportunities for deployment of NLG
within your organisation

Introduction to search and
recommendation systems
Internet search, page rank, knowledge
graph
Ethical implications and responsibilities
Applications of data mining
Personalisation
Micro-segmentation
Unsupervised learning
Evaluation metrics
Case study: K-means clustering
Customer database
Business challenges and opportunities
for deployment of data mining
Opportunities for deployment of data
mining within your organisation

Introduction to computer vision
When machines see
Key approaches
Ethical implications and responsibilities
Applications of computer vision
Facial recognition
Driverless cars
Medical imaging
Game playing
Case study: Reinforcement learning
Vertical driving game
Business challenges and opportunities
for deployment of computer vision
Opportunities for deployment of
computer vision within your organisation

Selecting a process
Matching problems to solutions
Choosing an algorithm for a given
problem
Introducing AI into your organisation
Augmentation vs automation
Current status
Business strategy
Organisation position within AI capability
model
AI heat map
AI canvas
New contexts for AI
Mixed reality
IoT
Big data
AI as a service
New opportunities or hype?
Cost benefit of deep learning
Ethics of AI deployment
Ethical framework in place within your
organisation
Deployment of an AI solution within your
organisation","Describe AI and the role it can play to deliver benefits for your organisation
Identify potential applications of AI in practice
Assess the main capabilities of AI and the core technologies that help deliver them
Distinguish between different types of data used in AI and their characteristics and uses
Explain the fundamental concepts of extraction, clustering, prediction, as well as search and
planning techniques
Advise on how software can be used to process, analyse, and extract meaning from natural
language, images and numerical data to understand the world the way we do
Identify the different components required to deliver complex AI systems, such as autonomous
cars or intelligent assistants
Explain the ethical implications of AI in different areas of the economy, government and
society",,,Lecture based learning;Learning using case study;LAB demos,Assignments
United States,Georgia Institute of Technology,2022-01-01,Artificial Intelligence,,"CS6601 is a survey of the field of Artificial Intelligence and will often be taken as the first graduate course in the area. It is designed to be challenging and involves significant independent work, readings, and assignments. The course covers most of the required textbook Artificial Intelligence A Modern Approach 4th edition, which is a keystone of Georgia Tech’s Intelligent Systems Ph.D. qualifier exam.
","Search
Simulated Annealing and Local Search
Game Playing through Depth-limited Search
Game Playing through the end
Constraint Satisfaction
Probability
Bayes Nets
Midterm Exam
ML through Random Forests
ML to end
Pattern Recognition through Time
Pattern Recognition through Time to end
Logic & Planning
Logic & Planning
Planning under Uncertainty",,python," Artificial Intelligence: A Modern Approach (AIMA, Fourth edition) by Stuart Russell and Peter Norvig.",Lecture based learning,Short Quizes;Assignments;Final Exam;midterm exam
United States,Washington State University,2009-01-01,Artificial Intelligence,,"In this class we will provide an introduction to the field of Artificial Intelligence. We will cover a
number of AI ideas and techniques, as well as give you a brief introduction to symbolic computing.
This class is intended to teach you the philosophies and techniques of Artificial Intelligence,
including intelligent agents, search, games, knowledge representation, logical reasoning and theorem
proving, uncertainty reasoning, machine learning, computer vision, and a brief introduction to
computing using the Prolog language. You are expected to have completed a course in Data
Structures, and to be comfortable with algorithm design and programming.","Introduction to Artificial Intelligence
AI ideas and techniques
Symbolic computing
Philosophies and techniques of Artificial Intelligence
Intelligent agents
Search algorithms
Games in AI
Knowledge representation
Logical reasoning and theorem proving
Uncertainty reasoning
Machine learning
Computer vision
Introduction to Prolog programming language",,prolog,"Artificial Intelligence: A Modern Approach by Russell and Norvig, second edition.
Prolog Programming for Artificial Intelligence
The Art of Prolog
Programming Prolog
Artificial Intelligence: A New Synthesis by Nilsson
Essentials of Artificial Intelligence by Ginsberg
Artificial Intelligence by Winston
The Elements of Artificial Intelligence by Tanimoto
Artificial Intelligence by Rich and Knight
Artificial Intelligence Programming by Norvig
Introduction to Artificial Intelligence by Charniak and McDermott.",Lecture based learning,Assignments;Final Exam;midterm exam;Presentation
United States,Johns Hopkins University,2017-01-01,Artificial Intelligence,"Data Structures
Discrete Mathematics","The course situates the study of Artificial Intelligence (AI) first in the broader context of Philosophy of Mind and Cognitive Psychology and then treats in-depth methods for automated reasoning, automatic problem solvers and planners, knowledge representation mechanisms, game playing, machine learning, and statistical pattern recognition. The class is a recommended for all scientists and engineers with a genuine curiosity about the fundamental obstacles to getting machines to perform tasks such as deduction, learning, and
planning and navigation. Strong programming skills and a good grasp of the English language are expected; students will be asked to complete both programming assignments and writing assignments. The course will include a brief introduction to scientific writing and experimental design, including assignments to apply these concepts.","Artificial Intelligence in Context
• AI in the Public Imagination
• Philosophy of Mind
• Cognitive Neuroscience
• Cognitive Psychology
• TBD

Intelligent Agents, Heuristic Search, and Game Playing
• Intelligent Agents
• Basic Search
• Informed Search
• Game Playing

Logic and Knowledge Representation
• Logical Agents
• First Order Logic
• Inference in First-Order Logic
• Knowledge Representation

Planning and Uncertainty
• Constraint Satisfaction
• Planning
• Probabilistic Reasoning
• Bayesian Networks
• Markov Decision Processes
• Decision Theory

Machine Learning
• Statistical Learning
• Neural Networks
• Reinforcement Learning

Natural Language
• Natural Language Processing
• Machine Translation","An ability to apply knowledge of computing and mathematics appropriate to the discipline (a)
• An ability to analyze a problem, and identify and define the computing requirements appropriate to its solution (b)

An ability to design, implement, and evaluate a computer-based system, process, component, or
program to meet desired needs (c)
• An ability to function effectively on teams to accomplish a common goal (d)
• An understanding of professional, ethical, legal, security and social issues and responsibilities (e)
• An ability to communicate effectively with a range of audiences (f)
• An ability to analyze the local and global impact of computing on individuals, organizations and
society (g)
• Recognition of the need for and an ability to engage in continuing professional development (h)
• An ability to use current techniques, skills, and tools necessary for computing practice (i)
• An ability to apply mathematical foundations, algorithmic principles, and computer science theory
in the modeling and design of computer-based systems in a way that demonstrates comprehension
of the tradeoffs involved in design choices (j)
• An ability to apply design and development principles in the construction of software systems of
varying complexity (k)",,"Russell and Norvig, Artificial Intelligence - A Modern Approach, 3rd edition, Prentice Hall (2009)
",Lecture based learning,Assignments;Final Exam
United States,Columbia University,2020-01-01,ARTIFICIAL INTELLIGENCE,,"In this course, you will learn the fundamental concepts of Artificial Intelligence (Al) and apply them to the design and implementation of intelligent agents that solve real-world Al problems, including problems in search, games, machine learning, logic, and constraint satisfaction.

We will provide a broad understanding of the basic techniques for building intelligent computer systems. Topics include the history of Al, intelligent agents, state-space problem representations, uninformed and heuristic search, game playing and adversarial search, logical agents, constraint satisfaction problems, along with techniques in machine learning and other applications of Al, such as natural language processing (NLP).","Introduction to AI, history of AI, course logistics, and roadmap
Intelligent agents, uninformed search
Heuristic search, greedy search, A* algorithm, stochastic search
Adversarial search, game playing
Machine Learning: basic concepts, linear models, K nearest neighbors, overfitting
Machine Learning: perceptrons, neural networks, naive Bayes, decision trees, ensemble, logistic regression, and unsupervised learning
Constraint satisfaction problems
Reinforcement learning.
Logical agents, propositional logic and first order logic
AI applications to natural language processing (NLP)",,,"
Artificial Intelligence, A Modern Approach. Stuart Russell and Peter Norvig. Third Edition",Lecture based learning,Assignments;Final Exam;midterm exam
